task,method,classifier,primary_mean,primary_std,auc_mean,auc_std,accuracy_mean,balanced_accuracy_mean,precision_mean,recall_mean
seizure_detection,bandpass,random_forest,0.6733888347275485,0.1359492992551283,0.7718266728689186,0.1523089498706981,0.672246979222574,0.6733888347275485,0.7268103139419257,0.565469441670561
seizure_detection,bandpass,svm,0.6837792969864349,0.09750534709848567,0.7459007468113479,0.09861973004202917,0.6857273876429515,0.6837792969864349,0.7282622879487223,0.5667771912516195
seizure_detection,bandpass,vit,0.7195938306237688,0.11085138911984366,0.8003092848912156,0.11490996659724899,0.7282875778271203,0.7195938306237688,0.785612160962563,0.581844572008227
seizure_detection,ic_unet,eegnet,0.6681400026709644,0.11916759064142798,0.749872817231614,0.14601515393475273,0.6736931426655629,0.6681400026709644,0.7550302539435346,0.5093739389425092
seizure_detection,ic_unet,lightgbm,0.6638665755308817,0.10872770357461954,0.7463799317523863,0.13277868797290135,0.6628826805623406,0.6638665755308817,0.6904064022822715,0.5860182591865024
seizure_detection,ic_unet,logistic_regression,0.6482120053028865,0.11823094448960786,0.747064251983921,0.14751721142387497,0.6371371300608486,0.6482120053028865,0.7430676040449604,0.4448235316175772
seizure_detection,ic_unet,mlp,0.659860172607271,0.10900913280008898,0.7563373188450265,0.13463036600764744,0.6573692841964631,0.659860172607271,0.6961361913545658,0.5339478321885882
seizure_detection,ic_unet,mobilenet,0.6599718113310766,0.1143297625810795,0.7613404060941462,0.13783224434095073,0.6646218997275967,0.6599718113310766,0.7063766756279738,0.5724513763846912
seizure_detection,ic_unet,random_forest,0.6629146146462,0.1121748178726731,0.7498345328218787,0.14437961094292356,0.6596867901857798,0.6629146146462,0.6919552252513947,0.5856045714535397
seizure_detection,ic_unet,svm,0.6424736235672265,0.11858559434654148,0.7405654180554821,0.14391608199155947,0.6317846470475951,0.6424736235672265,0.7203308138079876,0.4459549557316014
seizure_detection,ic_unet,vit,0.7066450333955306,0.10513532728048786,0.7977229893160084,0.1177611768946168,0.7163278827819508,0.7066450333955306,0.7793212805196058,0.5736816307932133
seizure_detection,ica,eegnet,0.621206829369948,0.1275881717722738,0.6884737362616751,0.16354478642153517,0.6248717353202639,0.621206829369948,0.7408165926936696,0.38104573831149485
seizure_detection,ica,lightgbm,0.6663379502427974,0.10661161042561672,0.7618417642861974,0.1433996985503606,0.6771803446724559,0.6663379502427974,0.7027166028669767,0.5765735488156807
seizure_detection,ica,logistic_regression,0.6449124089833026,0.09522378153337886,0.6936975971379646,0.10807549693555871,0.6553096005088059,0.6449124089833026,0.6915804655686373,0.5118153752590388
seizure_detection,ica,mlp,0.6589547041270686,0.09767458195389446,0.7022775663482477,0.1003758804352027,0.6700454984127349,0.6589547041270686,0.6985736255365684,0.5482346418806202
seizure_detection,ica,mobilenet,0.6395002145258541,0.08077766074740377,0.7076301146849449,0.12394755899144005,0.6554397738419956,0.6395002145258541,0.6540945587678182,0.6082993469106299
seizure_detection,ica,random_forest,0.625260266135949,0.12467044317465632,0.7306755356041474,0.16432923524869075,0.6331547770702113,0.625260266135949,0.6858019300923588,0.480032230279554
seizure_detection,ica,svm,0.6410898755911626,0.09237449350961456,0.6849010673005471,0.10462261432212841,0.6514422763623661,0.6410898755911626,0.6788749639330454,0.5230416953336458
