task,method,classifier,repeat,seed,primary_name,primary,accuracy,balanced_accuracy,precision,recall,auc
attention_state,asr20,lightgbm,10,1786428360,accuracy,0.5340277777777778,0.5340277777777778,0.5340277777777778,0.5403083143978408,0.5340277777777778,0.7389171006944445
attention_state,asr20,logistic_regression,1,2013945970,accuracy,0.3655555555555556,0.3655555555555556,0.3655555555555556,0.3619849405094642,0.3655555555555556,0.5353726851851852
attention_state,asr20,logistic_regression,2,61155527,accuracy,0.4722222222222222,0.4722222222222222,0.47222222222222227,0.4686612579879565,0.47222222222222227,0.6587479166666667
attention_state,asr20,logistic_regression,3,1072713694,accuracy,0.4905555555555556,0.4905555555555556,0.4905555555555556,0.49272947422723146,0.4905555555555556,0.711819675925926
attention_state,asr20,logistic_regression,4,2111243235,accuracy,0.42430555555555555,0.42430555555555555,0.42430555555555555,0.4383519843529748,0.42430555555555555,0.5940878182870372
attention_state,asr20,logistic_regression,5,1626406676,accuracy,0.42916666666666664,0.42916666666666664,0.4291666666666667,0.42193431540692633,0.4291666666666667,0.6061961082175926
attention_state,asr20,logistic_regression,6,126691620,accuracy,0.3655555555555556,0.3655555555555556,0.3655555555555556,0.3619849405094642,0.3655555555555556,0.5353407407407408
attention_state,asr20,logistic_regression,7,28155425,accuracy,0.4722222222222222,0.4722222222222222,0.47222222222222227,0.46885161040603296,0.47222222222222227,0.6587055555555555
attention_state,asr20,logistic_regression,8,149869551,accuracy,0.48944444444444446,0.48944444444444446,0.4894444444444444,0.4917515517453294,0.4894444444444444,0.7118641203703704
attention_state,asr20,logistic_regression,9,2044435244,accuracy,0.42430555555555555,0.42430555555555555,0.42430555555555555,0.4386507936507937,0.42430555555555555,0.5939543547453704
attention_state,asr20,logistic_regression,10,1786428360,accuracy,0.42986111111111114,0.42986111111111114,0.4298611111111111,0.42248553744439166,0.4298611111111111,0.6061020688657407
attention_state,asr20,mlp,1,2013945970,accuracy,0.35555555555555557,0.35555555555555557,0.35555555555555557,0.3456342932516447,0.35555555555555557,0.5246092592592593
attention_state,asr20,mlp,2,61155527,accuracy,0.42777777777777776,0.42777777777777776,0.42777777777777776,0.4270233651801962,0.42777777777777776,0.6538104166666666
attention_state,asr20,mlp,3,1072713694,accuracy,0.49833333333333335,0.49833333333333335,0.49833333333333335,0.48080069604100145,0.49833333333333335,0.7078928240740741
attention_state,asr20,mlp,4,2111243235,accuracy,0.4041666666666667,0.4041666666666667,0.4041666666666666,0.4775989905815337,0.4041666666666666,0.5900849971064814
attention_state,asr20,mlp,5,1626406676,accuracy,0.48194444444444445,0.48194444444444445,0.48194444444444445,0.4693051749984476,0.48194444444444445,0.6835413049768518
attention_state,asr20,mlp,6,126691620,accuracy,0.38555555555555554,0.38555555555555554,0.3855555555555556,0.38452623693572335,0.3855555555555556,0.5453261574074074
attention_state,asr20,mlp,7,28155425,accuracy,0.43222222222222223,0.43222222222222223,0.43222222222222223,0.4296158426416247,0.43222222222222223,0.6715555555555556
attention_state,asr20,mlp,8,149869551,accuracy,0.5038888888888889,0.5038888888888889,0.5038888888888889,0.5004322934077287,0.5038888888888889,0.6917363425925925
attention_state,asr20,mlp,9,2044435244,accuracy,0.41944444444444445,0.41944444444444445,0.41944444444444445,0.4621518382609066,0.41944444444444445,0.6188585069444444
attention_state,asr20,mlp,10,1786428360,accuracy,0.44583333333333336,0.44583333333333336,0.4458333333333333,0.4395152680236813,0.4458333333333333,0.6337449363425925
attention_state,asr20,mobilenet,1,2013945970,accuracy,0.5088888888888888,0.5088888888888888,0.508888888888889,0.50194343662642,0.508888888888889,0.6932314814814816
attention_state,asr20,mobilenet,2,61155527,accuracy,0.5611111111111111,0.5611111111111111,0.561111111111111,0.6565068119871004,0.561111111111111,0.7893465277777777
attention_state,asr20,mobilenet,3,1072713694,accuracy,0.5355555555555556,0.5355555555555556,0.5355555555555555,0.5639181991262716,0.5355555555555555,0.7110731481481481
attention_state,asr20,mobilenet,4,2111243235,accuracy,0.6534722222222222,0.6534722222222222,0.6534722222222222,0.6852944919107172,0.6534722222222222,0.848931568287037
