task,method,classifier,primary_mean,primary_std,auc_mean,auc_std,accuracy_mean,balanced_accuracy_mean,precision_mean,recall_mean
seizure_detection,bandpass,mobilenet,0.7946817785527462,0.025965601764316348,0.8793589033671859,0.030507751561497293,0.7946817785527462,0.7946817785527462,0.8161657999889229,0.7702702702702703
seizure_detection,bandpass,random_forest,0.8808413251961639,0.004446648965429146,0.9485379204611704,0.003485402743234364,0.8808413251961639,0.8808413251961639,0.9066512586649997,0.8491717523975588
seizure_detection,bandpass,svm,0.8000871839581517,0.006600119309952979,0.871060199116911,0.0048949635012588,0.8000871839581517,0.8000871839581517,0.8519199136488995,0.726460331299041
seizure_detection,bandpass,vit,0.8940714908456844,0.0025881303589882273,0.9544469614452318,0.0024228355041852364,0.8940714908456844,0.8940714908456844,0.9219505556371491,0.8615954664341761
seizure_detection,ic_unet,eegnet,0.6021795989537926,0.07196201350271608,0.7496323945792405,0.0468236096813738,0.6021795989537926,0.6021795989537925,0.7043322096710414,0.4953792502179599
seizure_detection,ic_unet,lightgbm,0.8165431560592851,0.004648272640359002,0.8979739991137183,0.004555911441615572,0.8165431560592851,0.8165431560592851,0.8261927127199493,0.8018308631211857
seizure_detection,ic_unet,logistic_regression,0.6582170880557977,0.03855469048538672,0.7460941567745432,0.038999648939258086,0.6582170880557977,0.6582170880557977,0.7849485925910297,0.43330427201394944
seizure_detection,ic_unet,mlp,0.6951612903225806,0.04875341439299527,0.7789481145233881,0.04858192453498785,0.6951612903225806,0.6951612903225806,0.7633591313717132,0.5749346120313862
seizure_detection,ic_unet,mobilenet,0.6604838709677419,0.04192984757494425,0.7472636056761546,0.05090180235619572,0.6604838709677419,0.6604838709677419,0.74223606640264,0.5681342632955537
seizure_detection,ic_unet,random_forest,0.7740409764603313,0.005106079811608997,0.8623092613382852,0.004267247413726731,0.7740409764603313,0.7740409764603313,0.7761565853695762,0.7702266782911944
seizure_detection,ic_unet,svm,0.646229293809939,0.0445921070552464,0.7304475341837886,0.045625424083753315,0.646229293809939,0.646229293809939,0.7551297264882562,0.42781168265039227
